-4 -9.25876
-3.99131 -9.22437
-3.98263 -9.18999
-3.97396 -9.15563
-3.96525 -9.12119
-3.95656 -9.08677
-3.94788 -9.05242
-3.93919 -9.018
-3.93052 -8.98365
-3.92183 -8.94927
-3.91314 -8.91486
-3.90445 -8.88045
-3.89579 -8.84614
-3.88709 -8.81173
-3.87841 -8.77734
-3.8697 -8.74288
-3.86103 -8.70856
-3.85235 -8.6742
-3.84366 -8.6398
-3.83496 -8.60537
-3.82629 -8.57102
-3.81759 -8.53658
-3.80891 -8.50224
-3.80022 -8.46782
-3.79153 -8.43344
-3.78286 -8.3991
-3.77417 -8.36472
-3.76548 -8.33033
-3.75679 -8.29592
-3.74812 -8.26159
-3.73943 -8.22719
-3.73074 -8.19282
-3.72205 -8.15839
-3.71336 -8.12402
-3.70467 -8.08966
-3.69598 -8.05525
-3.68731 -8.02095
-3.67863 -7.98655
-3.66993 -7.95217
-3.66124 -7.91778
-3.65257 -7.88345
-3.64388 -7.84907
-3.63519 -7.81467
-3.6265 -7.7803
-3.61782 -7.74595
-3.60914 -7.7116
-3.60045 -7.67723
-3.59176 -7.64286
-3.58308 -7.6085
-3.57438 -7.57412
-3.5657 -7.53977
-3.55702 -7.50543
-3.54834 -7.47107
-3.53964 -7.43669
-3.53096 -7.40235
-3.52227 -7.36799
-3.51358 -7.33363
-3.5049 -7.2993
-3.49622 -7.26497
-3.48753 -7.23061
-3.47885 -7.19627
-3.47016 -7.16192
-3.46148 -7.12759
-3.45279 -7.09325
-3.44411 -7.05893
-3.43542 -7.02458
-3.42673 -6.99026
-3.41805 -6.95595
-3.40936 -6.92161
-3.40067 -6.88729
-3.39199 -6.85296
-3.3833 -6.81865
-3.37462 -6.78434
-3.36593 -6.75002
-3.35725 -6.71572
-3.34856 -6.6814
-3.33987 -6.64712
-3.33119 -6.61282
-3.3225 -6.57852
-3.31381 -6.54422
-3.30513 -6.50995
-3.29644 -6.47566
-3.28775 -6.44138
-3.27907 -6.40711
-3.27038 -6.37282
-3.2617 -6.33859
-3.25302 -6.30432
-3.24433 -6.27007
-3.23564 -6.23582
-3.22695 -6.20156
-3.21827 -6.16733
-3.20958 -6.13307
-3.2009 -6.09886
-3.19221 -6.06464
-3.18353 -6.03041
-3.17484 -5.9962
-3.16615 -5.96199
-3.15747 -5.92778
-3.14878 -5.8936
-3.1401 -5.85941
-3.13141 -5.82521
-3.12273 -5.79106
-3.11404 -5.75688
-3.10535 -5.72271
-3.09667 -5.68857
-3.08798 -5.65442
-3.0793 -5.6203
-3.07061 -5.58616
-3.06193 -5.55204
-3.05324 -5.51792
-3.04455 -5.48382
-3.03587 -5.44973
-3.02718 -5.41564
-3.01849 -5.38156
-3.00981 -5.34749
-3.00112 -5.31343
-2.99242 -5.27934
-2.98376 -5.24538
-2.97506 -5.21131
-2.96638 -5.17729
-2.9577 -5.14332
-2.949 -5.10929
-2.94032 -5.07533
-2.93163 -5.04133
-2.92296 -5.00743
-2.91428 -4.9735
-2.90556 -4.93948
-2.89688 -4.90557
-2.8882 -4.87168
-2.87952 -4.83782
-2.87083 -4.80391
-2.86214 -4.77005
-2.85347 -4.73624
-2.84479 -4.70242
-2.83609 -4.66858
-2.8274 -4.63475
-2.81873 -4.60102
-2.81003 -4.56723
-2.80134 -4.53347
-2.79266 -4.49975
-2.78397 -4.46601
-2.77529 -4.43233
-2.7666 -4.39865
-2.75791 -4.36497
-2.74924 -4.33139
-2.74055 -4.29776
-2.73187 -4.26418
-2.72317 -4.23057
-2.71449 -4.19703
-2.7058 -4.16349
-2.69711 -4.12996
-2.68844 -4.09652
-2.67975 -4.06306
-2.67105 -4.02958
-2.66238 -3.99622
-2.65369 -3.96281
-2.64501 -3.92946
-2.63631 -3.8961
-2.62762 -3.86279
-2.61894 -3.82951
-2.61025 -3.79624
-2.60157 -3.76305
-2.59288 -3.72985
-2.58419 -3.69666
-2.57551 -3.66354
-2.56682 -3.63043
-2.55815 -3.5974
-2.54946 -3.56437
-2.54077 -3.53136
-2.53208 -3.49836
-2.5234 -3.46544
-2.51472 -3.43256
-2.50603 -3.39968
-2.49734 -3.36683
-2.48865 -3.33405
-2.47998 -3.30131
-2.47129 -3.26861
-2.4626 -3.2359
-2.45391 -3.20329
-2.44522 -3.17065
-2.43654 -3.13814
-2.42785 -3.10561
-2.41917 -3.07315
-2.41049 -3.04073
-2.4018 -3.00837
-2.39311 -2.97604
-2.38443 -2.94377
-2.37574 -2.9115
-2.36706 -2.87934
-2.35837 -2.84719
-2.34968 -2.81511
-2.341 -2.78307
-2.33231 -2.75111
-2.32363 -2.71917
-2.31494 -2.68728
-2.30626 -2.65549
-2.29757 -2.62371
-2.28888 -2.59199
-2.2802 -2.56035
-2.27151 -2.52876
-2.26282 -2.49723
-2.25414 -2.46579
-2.24545 -2.4344
-2.23677 -2.40304
-2.22808 -2.37179
-2.21939 -2.34058
-2.21071 -2.30943
-2.20202 -2.27837
-2.19333 -2.24735
-2.18465 -2.21645
-2.17597 -2.18561
-2.16728 -2.15484
-2.15859 -2.12413
-2.14991 -2.0935
-2.14122 -2.06298
-2.13253 -2.0325
-2.12385 -2.00212
-2.11516 -1.97181
-2.10648 -1.94161
-2.09779 -1.9115
-2.0891 -1.88145
-2.08042 -1.85153
-2.07173 -1.82167
-2.06304 -1.79191
-2.05436 -1.76226
-2.04568 -1.73271
-2.03699 -1.70323
-2.0283 -1.67389
-2.01962 -1.64465
-2.01093 -1.61551
-2.00225 -1.58647
-1.99358 -1.5576
-1.98489 -1.52878
